Serial No,GRE Score        ,Toefl Score ,Ielts Score,Department,CGPA,Research,Project,Work Experience ,University Ranking,University rating
118,308,112,8,civil,3.52,1,1,2.1,33,4
119,311,112,8,civil,3.28,0,0,2.1,33,4
120,330,112,8,civil,3.65,2,4,4.2,32,4
121,308,112,8,cse,3.68,0,1,4.8,32,4
122,329,114,8,eee,3.97,1,8,1.8,32,4
123,335,112,8,me,3.84,0,0,0,32,4
124,320,99,7,cse,3.14,0,4,5,35,4
125,324,109,7.5,me,3.33,0,0,5.3,35,4
126,315,105,7.5,cse,3.36,1,0,0.4,35,4
127,310,100,7,civil,3.04,0,2,0.4,35,4
128,307,116,8.5,me,3.31,0,2,0.1,76,4
129,312,107,8,cse,3.52,0,1,2,76,4
130,302,109,6.5,cse,3.58,0,4,1.5,76,4
131,323,85,6.5,cse,3.49,0,0,0,76,4
132,303,105,7.5,me,3.42,0,3,0.1,76,4
133,323,98,7,me,3.52,0,1,0.1,76,4
134,311,105,7.5,eee,3.04,0,1,2.1,299,2
135,302,90,7,cse,3.23,0,7,0.2,299,2
136,321,109,7.5,civil,3.26,0,0,0,299,2
137,315,108,7.5,me,3.14,0,1,0.1,299,2
138,302,90,7,cse,3.23,0,7,0.1,299,2
139,309,85,6.5,civil,3.33,1,1,1.1,86,4
140,309,112,8,eee,3.49,0,7,3.4,86,4
141,314,105,7.5,cse,3.46,0,0,0,86,4
142,294,6.5,85,me,3.55,1,1,1.1,86,4
143,330,116,8.5,cse,3.55,0,0,0,35,4
144,320,112,8,me,3.19,0,1,2.1,35,4
145,326,96,7,cse,3.07,0,5,1.6,35,4
146,317,100,7,me,3.39,0,0,3.7,7,4
147,332,117,8.5,eee,3.52,0,1,2.2,7,4
148,323,115,8.5,me,3.42,0,1,3.1,7,4
149,312,112,8,cse,3.87,0,0,0,7,4
150,308,100,7,eee,3,0,0,3.6,67,4
151,326,112,8,cse,3.3,0,1,1.1,234,2
152,318,73,6,eee,3.04,0,0,0,234,2
153,315,108,7.5,cse,3.49,0,4,0.6,234,2
154,324,85,6.5,cse,3.36,0,0,0,234,2
155,325,97,7,me,3.22,0,0,0,331,1
156,320,85,6.5,eee,2.95,1,1,2.1,331,1
157,294,73,6,me,3.42,0,1,0.2,331,1
158,299,88,6.5,cse,3.04,1,6,2.2,73,4
159,323,112,8,cse,3.42,0,1,0.7,73,4
160,295,99,6.5,me,3.78,0,0,2.2,73,4
161,310,85,6.5,cse,3.1,0,1,0,195,3
162,314,96,7,cse,3.17,0,0,0,195,3
163,303,97,7,cse,3,0,1,4.5,195,3
164,317,92,6.5,cse,3.36,0,1,4,67,4
165,321,112,8,ds,3.71,0,5,1,67,4
166,295,99,7,ds,3.79,0,0,2.4,67,4
167,317,90,6.5,ds,3.39,0,1,0,67,4
168,298,85,6.5,eee,3.55,0,6,0.3,142,3
169,300,105,7.5,eee,3.36,0,0,2.8,142,3
170,311,105,7.5,eee,3.36,0,0,2.3,142,3
171,317,105,7.5,me,3.3,0,5,4.2,142,3
172,309,105,7.5,ds,3.58,0,0,0.3,93,4
173,318,112,8,ds,3.47,0,2,5.1,93,4
174,303,105,7.5,ds,3.49,0,1,2.1,93,4
175,299,112,8,ds,3,0,0,3.2,93,4
176,303,105,7.5,me,3.3,1,0,0.2,93,4
177,312,105,7.5,ds,3.26,0,2,1.1,201,2
178,317,106,7.5,ds,3.49,1,0,2.2,201,2
179,299,85,6.5,me,3.68,1,1,2,201,2
180,324,105,7.5,me,2.8,0,0,0,201,2
181,312,85,6.5,ds,3.36,0,0,0,304,1
182,297,95,7,ds,3.18,0,1,1.2,304,1
183,298,98,7,ds,3.14,0,2,6.3,304,1
184,292,98,7,cse,3.04,0,0,0.1,304,1
185,291,73,6,cse,3.26,0,0,7.1,304,1
186,319,101,7,ds,3.71,0,0,1.1,24,4
187,315,100,7,ds,3.87,2,0,0.8,24,4
188,326,110,8,ds,3.78,0,0,0,24,4
189,300,98,7,eee,3.46,0,1,4.2,24,4
190,311,108,7.5,eee,2.7,0,0,0,24,4
191,294,92,6.5,cse,3.18,0,4,5.2,24,4
192,318,109,7.5,cse,3.58,0,0,0,1,4
193,327,95,7,cse,3.52,0,0,0,5,4
194,315,107,7.5,eee,3.1,0,1,4.5,170,3
195,292,83,6.5,civil,3.05,0,0,0.5,285,2
196,292,95,7,civil,3.3,0,0,0,285,2
197,309,105,7.5,civil,3.33,0,0,0.2,285,2
198,320,100,7,me,3.07,0,0,0,285,2
199,314,6.5,85,me,3,0,0,0,285,2
200,302,6.5,85,cse,3.33,0,0,0,260,2
201,314,112,8,cse,3.56,0,1,0.3,47,4
202,320,98,7,cse,3.65,0,1,1.5,47,4
203,314,97,7,cse,3.46,0,1,4.5,47,4
204,314,100,7,cse,3.68,0,0,0,47,4
205,313,106,7.5,cse,3.71,0,1,2,47,4
206,324,111,8,cse,3.36,0,0,0,163,3
207,321,111,8,eee,3.64,0,0,0,159,3
208,313,106,7.5,eee,3.07,0,0,0,159,3
209,320,115,8.5,me,3.58,0,0,0,2,4
210,305,112,8,me,2.95,0,0,0,82,4
211,327,112,8,me,3.46,0,1,1.5,82,4
212,323,112,8,me,3.52,0,0,0,82,4
213,310,98,7,me,3.42,0,0,0,82,4
214,312,100,7,ds,3.36,0,2,4,185,3
215,305,106,7.5,ds,2.95,0,0,0,185,3
216,306,105,7.5,ds,3.03,0,0,0,185,3
217,313,99,7,ds,3.26,0,0,0,185,3
218,313,98,7,ds,2.9,0,0,0,185,3
219,309,98,7,ds,3.42,0,0,0,185,3
220,310,100,7,ds,3.65,0,0,0,185,3
221,312,92,6.5,me,3.04,0,1,1.8,216,2
222,297,85,6.5,me,2.9,0,0,0,216,2
223,306,82,6.5,me,3.3,0,0,0,216,2
224,290,83,6.5,me,3.14,0,1,0.6,216,2
225,292,83,6.5,me,3.62,0,0,0,216,2
226,305,112,8,me,2.9,0,0,0,216,2
227,298,98,7,me,3.84,0,0,0,216,2
228,303,85,6.5,me,3.2,0,0,0,216,2
229,302,98,7,me,3.3,0,1,0,216,2
230,321,97,7,me,3.42,0,1,0,269,2
231,317,109,7.5,me,3.62,0,4,3,269,2
232,291,85,6.5,me,3.42,0,1,0.5,269,2
233,294,73,6,me,3.46,0,0,0,269,2
234,323,85,6.6,me,3.14,0,0,2,269,2
235,308,72,6,ds,3.36,0,1,0,332,1
236,316,73,6,ds,3.65,0,0,1.5,332,1
237,310,105,7.5,ds,3.2,0,0,0,332,1
238,305,98,7,ds,3.65,0,0,0,332,1
239,316,98,7,ds,3.3,0,1,1,332,1
240,324,91,6.5,ds,3.26,0,0,0,332,1
241,285,85,6.5,ds,3.36,0,0,1.8,93,4
242,302,98,7,ds,3.65,0,1,0,93,4
243,328,73,6,cse,3.14,0,1,3,317,1
244,319,85,6.5,cse,3.17,0,0,0,317,1
245,317,85,6.5,cse,3.2,0,0,0,317,1
246,319,98,7,cse,3.2,0,1,4.5,317,1
247,312,85,6.5,cse,3.04,0,0,0,317,1
248,299,98,7,cse,3.42,0,1,1.8,317,1
249,323,85,6.5,cse,3.33,0,5,0,317,1
250,305,73,6,ds,3.04,0,1,4.5,317,1
251,325,40,5,eee,2.85,0,0,0,317,1
252,289,73,6,eee,3.33,0,0,0,317,1
253,301,98,7,eee,3,0,1,0,317,1
254,298,91,6.5,eee,3.23,0,0,0,317,1
255,296,94,7,eee,2.8,0,5,0,317,1
256,320,85,6.5,cse,3.52,0,0,0,263,2
257,314,98,7,cse,3.58,0,0,0,263,2
258,318,102,7.5,cse,3.1,0,0,0,263,2
259,297,98,7,cse,3.58,0,0,0,263,2
260,328,114,8,cse,3.83,0,0,1,263,2
261,303,98,7,cse,3.42,0,0,0,263,2
262,325,90,6.5,cse,3.78,0,0,0,185,3
263,313,98,7,cse,3.04,0,0,0,185,3
264,316,85,6.5,cse,3.36,0,0,0,185,3
265,301,85,6.5,cse,2.46,0,2,3.2,185,3
266,309,112,8,cse,3.36,0,5,4.5,185,3
267,317,98,7,cse,3.71,0,3,0,185,3
268,322,98,7,cse,3.49,0,0,0,185,3
269,309,105,7.5,me,3.23,0,0,0,185,3
